"";"study.es";"study";"year";"country";"rob";"disorder";"therapy";"patient";"improved.ig";"n.ig";"improved.cg";"n.cg";"plogit.ig";"se.plogit.ig";"plogit.cg";"se.plogit.cg";"logrr";"se.logrr";"reference"
"1";"Abramowitz, 2009";"Abramowitz, 2009";2009;"North America";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";3;11;0;10;-0,980829253011726;0,67700320038633;-3,04452243772342;1,44749372891149;1,85493837084959;1,45035156728879;"Abramowitz JS, Moore EL, Braddock AE, Harrington DL. Self-help cognitive-behavioral therapy with minimal therapist contact for social phobia: a controlled trial. Journal of behavior therapy and experimental psychiatry. 2009;40(1):98-105."
"2";"Anderson, 2013 - grp";"Anderson, 2013";2013;"North America";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";2;39;1;28;-2,91777073208428;0,725966271273692;-3,29583686600433;1,01835015443463;0,184429039133519;1,00312635877651;"Anderson PL, Price M, Edwards SM, Obasaju MA, Schmertz SK, Zimand E, et al. Virtual reality exposure therapy for social anxiety disorder: a randomized controlled trial. Journal of consulting and clinical psychology. 2013;81(5):751-60."
"3";"Anderson, 2013 - vr";"Anderson, 2013";2013;"North America";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";1;30;1;28;-3,36729582998647;1,01709525543122;-3,29583686600433;1,01835015443463;-0,0678225963387611;1,12492609925683;"Anderson PL, Price M, Edwards SM, Obasaju MA, Schmertz SK, Zimand E, et al. Virtual reality exposure therapy for social anxiety disorder: a randomized controlled trial. Journal of consulting and clinical psychology. 2013;81(5):751-60."
"4";"Andersson, 2006";"Andersson, 2006";2006;"Europe";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";10;32;3;32;-0,78845736036427;0,381385035698237;-2,26868354131836;0,606478434863123;1,09861228866811;0,565167160594031;"Andersson G, Carlbring P, Holmstrom A, Sparthan E, Furmark T, Nilsson-Ihrfelt E, et al. Internet-based self-help with therapist feedback and in vivo group exposure for social phobia: a randomized controlled trial. Journal of consulting and clinical psychology. 2006;74(4):677-86."
"5";"Andersson, 2012";"Andersson, 2012";2012;"Europe";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";35;102;10;102;-0,649344557901552;0,208558868681619;-2,21920348405499;0,332970817366014;1,21815743931789;0,322327340138331;"Andersson G, Carlbring P, Furmark T. Therapist experience and knowledge acquisition in internet-delivered CBT for social anxiety disorder: a randomized controlled trial. PloS one. 2012;7(5):e37411."
"6";"Beidel, 2014 - exp+sst";"Beidel, 2014";2014;"North America";"high";"Social Anxiety Disorder";"Exposure";"Adults";10;46;1;19;-1,28093384546206;0,35746017649212;-2,89037175789616;1,02740233382816;1,0768723020317;0,830130913939858;"Beidel DC, Alfano CA, Kofler MJ, Rao PA, Scharfstein L, Wong Sarver N. The impact of social skills training for social anxiety disorder: a randomized controlled trial. Journal of anxiety disorders. 2014;28(8):908-18."
"7";"Beidel, 2014 - sst";"Beidel, 2014";2014;"North America";"high";"Social Anxiety Disorder";"Exposure";"Adults";8;41;1;19;-1,41706601978664;0,394085054655756;-2,89037175789616;1,02740233382816;0,979322093721155;0,841982950341618;"Beidel DC, Alfano CA, Kofler MJ, Rao PA, Scharfstein L, Wong Sarver N. The impact of social skills training for social anxiety disorder: a randomized controlled trial. Journal of anxiety disorders. 2014;28(8):908-18."
"8";"Berger, 2009";"Berger, 2009";2009;"Europe";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";6;31;1;21;-1,42711635564015;0,454606056566195;-2,99573227355399;1,02469507659596;1,08440245809546;0,861542315188182;"Berger T, Hohl E, Caspar F. Internet-based treatment for social phobia: a randomized controlled trial. Journal of clinical psychology. 2009;65(10):1021-35."
"9";"Blanco, 2010";"Blanco, 2010";2010;"North America";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";6;34;5;27;-1,54044504094715;0,449867705421219;-1,48160454092422;0,495433694306862;-0,0597192347016223;0,519918447503378;"Blanco C, Heimberg RG, Schneier FR, Fresco DM, Chen H, Turk CL, et al. A placebo-controlled trial of phenelzine, cognitive behavioral group therapy, and their combination for social anxiety disorder. Archives of general psychiatry. 2010;67(3):286-95."
"10";"Botella, 2010";"Botella, 2010";2016;"Europe";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Young Adults";7;22;6;25;-0,762140052046897;0,457737708217063;-1,15267950993839;0,468292905790847;0,268263986594679;0,451131196505554;"Botella C, Gallego MJ, Garcia-Palacios A, Guillen V, Banos RM, Quero S, et al. An Internet-based self-help treatment for fear of public speaking: a controlled trial. Cyberpsychology, behavior and social networking. 2010;13(4):407-21."
"11";"Bouchard, 2017 - vr";"Bouchard, 2017";2017;"North America";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";6;17;1;20;-0,606135803570316;0,507519218922552;-2,94443897916644;1,02597835208515;1,62456107400832;0,845333943223082;"Bouchard S, Dumoulin S, Robillard G, Guitard T, Klinger E, Forget H, et al. Virtual reality compared with in vivo exposure in the treatment of social anxiety disorder: a three-arm randomised controlled trial. The British journal of psychiatry : the journal of mental science. 2017;210(4):276-83."
"12";"Bouchard, 2017 - in vivo";"Bouchard, 2017";2017;"North America";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";5;22;1;20;-1,22377543162212;0,508747019069168;-2,94443897916644;1,02597835208515;1,20619256106425;0,869056911965796;"Bouchard S, Dumoulin S, Robillard G, Guitard T, Klinger E, Forget H, et al. Virtual reality compared with in vivo exposure in the treatment of social anxiety disorder: a three-arm randomised controlled trial. The British journal of psychiatry : the journal of mental science. 2017;210(4):276-83."
"13";"Carlbring, 2007";"Carlbring, 2007";2007;"Europe";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";9;29;2;28;-0,798507696217772;0,401386485959743;-2,56494935746154;0,733799385705343;1,30051489066117;0,66051278073308;"Carlbring P, Gunnarsdottir M, Hedensjo L, Andersson G, Ekselius L, Furmark T. Treatment of social phobia: randomised trial of internet-delivered cognitive-behavioural therapy with telephone support. The British journal of psychiatry : the journal of mental science. 2007;190:123-8."
"14";"Clark, 2006 - cbt";"Clark, 2006";2006;"Europe";"high";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";15;21;1;20;0,916290731874155;0,483045891539648;-2,94443897916644;1,02597835208515;2,28774686682778;0,797427539019734;"Clark DM, Ehlers A, Hackmann A, McManus F, Fennell M, Grey N, et al. Cognitive therapy versus exposure and applied relaxation in social phobia: A randomized controlled trial. Journal of consulting and clinical psychology. 2006;74(3):568-78."
"15";"Clark, 2006 - exp";"Clark, 2006";2006;"Europe";"high";"Social Anxiety Disorder";"Exposure";"Adults";7;21;1;20;-0,693147180559945;0,462910049886276;-2,94443897916644;1,02597835208515;1,56180986344485;0,839468810789386;"Clark DM, Ehlers A, Hackmann A, McManus F, Fennell M, Grey N, et al. Cognitive therapy versus exposure and applied relaxation in social phobia: A randomized controlled trial. Journal of consulting and clinical psychology. 2006;74(3):568-78."
"16";"Clark, 2022 - ind";"Clark, 2022";2022;"Europe";"low";"Social Anxiety Disorder";"Cognitive Behavior Therapy";"Adults";33;34;13;34;3,49650756146648;1,0150384378451;-0,479573080261886;0,35290526284277;0,908855753386637;0,214368388177868;"Clark DM, Wild J, Warnock-Parkes E, Stott R, Grey N, Thew G, et al. More than doubling the clinical benefit of each hour of therapist time: a randomised controlled trial of internet cognitive therapy for social anxiety disorder. Psychological medicine. 2022:1-11."
